Bin_Center,Count
1.750597865855548889e+03,3.680000000000000000e+02
1.751793478023399530e+03,3.940000000000000000e+02
1.752988731657108474e+03,4.630000000000000000e+02
1.754183388052416831e+03,4.310000000000000000e+02
1.755377208982252341e+03,4.020000000000000000e+02
1.756569956886468844e+03,4.280000000000000000e+02
1.757761395060456380e+03,4.580000000000000000e+02
1.758951287842303827e+03,4.550000000000000000e+02
1.760139400798200313e+03,3.950000000000000000e+02
1.761325500905767967e+03,4.640000000000000000e+02
1.762509356735024312e+03,4.180000000000000000e+02
1.763690738626679149e+03,4.630000000000000000e+02
1.764869418867476270e+03,4.870000000000000000e+02
1.766045171862304414e+03,5.110000000000000000e+02
1.767217774302803718e+03,4.770000000000000000e+02
1.768387005332210720e+03,5.070000000000000000e+02
1.769552646706188625e+03,4.920000000000000000e+02
1.770714482949410012e+03,5.320000000000000000e+02
1.771872301507657994e+03,5.020000000000000000e+02
1.773025892895236666e+03,5.380000000000000000e+02
1.774175050837487788e+03,5.430000000000000000e+02
1.775319572408223166e+03,5.530000000000000000e+02
1.776459258161901516e+03,5.130000000000000000e+02
1.777593912260383149e+03,5.430000000000000000e+02
1.778723342594120368e+03,6.080000000000000000e+02
1.779847360897647604e+03,5.780000000000000000e+02
1.780965782859253977e+03,5.600000000000000000e+02
1.782078428224734580e+03,6.210000000000000000e+02
1.783185120895128875e+03,5.620000000000000000e+02
1.784285689018376615e+03,5.920000000000000000e+02
1.785379965074825577e+03,5.790000000000000000e+02
1.786467785956548823e+03,5.770000000000000000e+02
1.787548993040438063e+03,6.280000000000000000e+02
1.788623432255058106e+03,6.110000000000000000e+02
1.789690954141256498e+03,6.640000000000000000e+02
1.790751413906540620e+03,6.800000000000000000e+02
1.791804671473242252e+03,6.850000000000000000e+02
1.792850591520509397e+03,6.890000000000000000e+02
1.793889043520172663e+03,7.430000000000000000e+02
1.794919901766544172e+03,7.090000000000000000e+02
1.795943045400225856e+03,6.810000000000000000e+02
1.796958358426005361e+03,6.780000000000000000e+02
1.797965729724937546e+03,6.990000000000000000e+02
1.798965053060713672e+03,7.660000000000000000e+02
1.799956227080430381e+03,7.260000000000000000e+02
1.800939155309880789e+03,7.040000000000000000e+02
1.801913746143502294e+03,7.320000000000000000e+02
1.802879912829112754e+03,6.970000000000000000e+02
1.803837573447585555e+03,7.330000000000000000e+02
1.804786650887613177e+03,6.940000000000000000e+02
1.805727072815717747e+03,7.380000000000000000e+02
1.806658771641671137e+03,7.530000000000000000e+02
1.807581684479494243e+03,7.770000000000000000e+02
1.808495753104205505e+03,7.800000000000000000e+02
1.809400923904495357e+03,8.280000000000000000e+02
1.810297147831505072e+03,7.820000000000000000e+02
1.811184380343891689e+03,7.600000000000000000e+02
1.812062581349361608e+03,8.080000000000000000e+02
1.812931715142857229e+03,7.850000000000000000e+02
1.813791750341581064e+03,9.130000000000000000e+02
1.814642659817043750e+03,8.170000000000000000e+02
1.815484420624323320e+03,8.880000000000000000e+02
1.816317013928715141e+03,8.020000000000000000e+02
1.817140424929962137e+03,7.950000000000000000e+02
1.817954642784243333e+03,8.340000000000000000e+02
1.818759660524104220e+03,8.810000000000000000e+02
1.819555474976503774e+03,8.410000000000000000e+02
1.820342086679157546e+03,9.240000000000000000e+02
1.821119499795346428e+03,8.650000000000000000e+02
1.821887722027361178e+03,8.270000000000000000e+02
1.822646764528750282e+03,9.480000000000000000e+02
1.823396641815531439e+03,8.930000000000000000e+02
1.824137371676524026e+03,9.790000000000000000e+02
1.824868975082961242e+03,9.080000000000000000e+02
1.825591476097523810e+03,9.450000000000000000e+02
1.826304901782948036e+03,9.780000000000000000e+02
1.827009282110343065e+03,9.640000000000000000e+02
1.827704649867354419e+03,9.690000000000000000e+02
1.828391040566305037e+03,9.390000000000000000e+02
1.829068492352438170e+03,9.770000000000000000e+02
1.829737045912381291e+03,9.760000000000000000e+02
1.830396744382950146e+03,9.980000000000000000e+02
1.831047633260398470e+03,8.800000000000000000e+02
1.831689760310218617e+03,8.990000000000000000e+02
1.832323175477595669e+03,1.041000000000000000e+03
1.832947930798606876e+03,9.490000000000000000e+02
1.833564080312255101e+03,1.028000000000000000e+03
1.834171679973420851e+03,9.520000000000000000e+02
1.834770787566814533e+03,9.940000000000000000e+02
1.835361462621996225e+03,1.125000000000000000e+03
1.835943766329539358e+03,1.024000000000000000e+03
1.836517761458397217e+03,1.099000000000000000e+03
1.837083512274533405e+03,1.050000000000000000e+03
1.837641084460871525e+03,1.041000000000000000e+03
1.838190545038612754e+03,1.035000000000000000e+03
1.838731962289967669e+03,1.099000000000000000e+03
1.839265405682343953e+03,1.094000000000000000e+03
1.839790945794026356e+03,1.098000000000000000e+03
1.840308654241383010e+03,1.071000000000000000e+03
1.840818603607626301e+03,1.105000000000000000e+03
1.841320867373152623e+03,1.062000000000000000e+03
1.841815519847486485e+03,1.070000000000000000e+03
1.842302636102843053e+03,1.058000000000000000e+03
1.842782291909324613e+03,1.136000000000000000e+03
1.843254563671764799e+03,1.183000000000000000e+03
1.843719528368227202e+03,1.072000000000000000e+03
1.844177263490163568e+03,1.148000000000000000e+03
1.844627846984233656e+03,1.221000000000000000e+03
1.845071357195791734e+03,1.132000000000000000e+03
1.845507872814027223e+03,1.147000000000000000e+03
