Bin_Center,Count
1.751091316988318340e+03,2.820000000000000000e+02
1.753273732747926715e+03,2.900000000000000000e+02
1.755455494030960608e+03,3.100000000000000000e+02
1.757636165101106371e+03,2.970000000000000000e+02
1.759815311093116634e+03,3.200000000000000000e+02
1.761992498359166348e+03,2.910000000000000000e+02
1.764167294813147691e+03,3.180000000000000000e+02
1.766339270272317890e+03,3.280000000000000000e+02
1.768507996795737427e+03,3.610000000000000000e+02
1.770673049018929987e+03,3.400000000000000000e+02
1.772834004484214802e+03,3.650000000000000000e+02
1.774990443966173189e+03,3.780000000000000000e+02
1.777141951791723841e+03,4.000000000000000000e+02
1.779288116154294585e+03,3.780000000000000000e+02
1.781428529421604253e+03,3.830000000000000000e+02
1.783562788436571509e+03,3.800000000000000000e+02
1.785690494810901328e+03,3.640000000000000000e+02
1.787811255210910986e+03,4.010000000000000000e+02
1.789924681635181514e+03,4.080000000000000000e+02
1.792030391683644211e+03,3.780000000000000000e+02
1.794128008817732052e+03,3.970000000000000000e+02
1.796217162611255389e+03,3.830000000000000000e+02
1.798297488991676346e+03,4.260000000000000000e+02
1.800368630471493361e+03,4.350000000000000000e+02
1.802430236369462818e+03,4.680000000000000000e+02
1.804481963021418778e+03,4.680000000000000000e+02
1.806523473980470499e+03,4.480000000000000000e+02
1.808554440206392883e+03,4.740000000000000000e+02
1.810574540244042055e+03,4.900000000000000000e+02
1.812583460390664186e+03,4.820000000000000000e+02
1.814580894851983885e+03,4.790000000000000000e+02
1.816566545886991207e+03,4.520000000000000000e+02
1.818540123941369529e+03,4.830000000000000000e+02
1.820501347769532458e+03,4.880000000000000000e+02
1.822449944545261587e+03,4.710000000000000000e+02
1.824385649960967385e+03,5.300000000000000000e+02
1.826308208315611637e+03,4.970000000000000000e+02
1.828217372591359890e+03,4.950000000000000000e+02
1.830112904519049835e+03,5.380000000000000000e+02
1.831994574632591366e+03,5.480000000000000000e+02
1.833862162312423152e+03,5.930000000000000000e+02
1.835715455818183273e+03,5.940000000000000000e+02
1.837554252310761058e+03,5.900000000000000000e+02
1.839378357863923611e+03,6.050000000000000000e+02
1.841187587465719389e+03,5.780000000000000000e+02
1.842981765009885294e+03,5.870000000000000000e+02
1.844760723277492616e+03,5.870000000000000000e+02
1.846524303909086939e+03,5.810000000000000000e+02
1.848272357367587119e+03,6.050000000000000000e+02
1.850004742892215745e+03,6.150000000000000000e+02
1.851721328443757102e+03,5.910000000000000000e+02
1.853421990641435059e+03,6.460000000000000000e+02
1.855106614691718050e+03,6.500000000000000000e+02
1.856775094309368569e+03,7.000000000000000000e+02
1.858427331631052994e+03,6.910000000000000000e+02
1.860063237121842121e+03,6.670000000000000000e+02
1.861682729474930966e+03,6.510000000000000000e+02
1.863285735504913646e+03,6.670000000000000000e+02
1.864872190034945106e+03,7.220000000000000000e+02
1.866442035778135960e+03,6.990000000000000000e+02
1.867995223213510826e+03,7.540000000000000000e+02
1.869531710456873498e+03,6.920000000000000000e+02
1.871051463126916133e+03,7.350000000000000000e+02
1.872554454206904666e+03,7.170000000000000000e+02
