,0
1750.5978963469915,723
1751.79356949163,746
1752.9888840838394,780
1754.1836014071864,766
1755.377483222448,764
1756.5702919573614,809
1757.7617908952434,817
1758.9517443621628,858
1760.1399179123516,878
1761.3260785115467,844
1762.509994717962,904
1763.691436860593,882
1764.8701772145694,903
1766.0459901732734,930
1767.2186524169551,874
1768.3879430775867,923
1769.5536438996999,1014
1770.715539396977,923
1771.8734170043595,956
1773.027067225467,983
1774.1762837751198,1040
1775.3208637167804,980
1776.460607594734,1065
1777.595319560853,1028
1778.7248074957906,1061
1779.8488831244792,1035
1780.967362125807,1063
1782.080064236375,1114
1783.186813348241,1015
1784.2874376005798,1121
1785.3817694651946,1146
1786.469645825839,1161
1787.5509080513145,1140
1788.6254020623273,1205
1789.6929783921018,1214
1790.7534922407604,1189
1791.8068035234903,1146
1792.8527769125376,1216
1793.891281873075,1213
1794.9221926930034,1185
1795.9453885067599,1255
1796.9607533132162,1317
1797.9681759877594,1282
1798.9675502886626,1199
1799.9587748578522,1274
1800.9417532162015,1311
1801.916393753475,1352
1802.8826097130657,1355
1803.8403191716693,1318
1804.7894450140448,1332
1805.729914903025,1352
1806.6616612449347,1409
1807.5846211505873,1441
1808.4987363920309,1465
1809.403953355222,1433
1810.3002229887998,1508
1811.1875007491499,1426
1812.0657465419338,1459
1812.9349246602724,1372
1813.795003719768,1480
1814.645956590547,1409
1815.4877603265172,1455
1816.320396092014,1486
1817.143849086025,1484
1817.958108464176,1520
1818.7631672586572,1467
1819.5590222962658,1548
1820.3456741147447,1587
1821.1231268775873,1560
1821.8913882874772,1598
1822.6504694985315,1600
1823.4003850275085,1597
1824.141152664135,1677
1824.8727933807133,1613
1825.595331241152,1647
1826.3087933095676,1590
1827.013209558598,1682
1827.708612777561,1563
1828.3950384805905,1660
1829.0725248148754,1673
1829.741112469119,1707
1830.4008445823367,1701
1831.0517666531027,1654
1831.6939264493458,1690
1832.3273739187987,1710
1832.9521611001924,1691
1833.5683420352857,1678
1834.1759726818143,1726
1834.7751108274347,1712
1835.3658160047437,1772
1835.9481494074357,1756
1836.5221738076657,1809
1837.087953474675,1810
1837.6455540947372,1797
1838.195042692472,1799
1838.736487553573,1879
1839.2699581489906,1858
1839.7955250606092,1769
1840.3132599084506,1790
1840.8232352794284,1862
1841.325524657687,1913
1841.8202023565416,1867
1842.3073434520356,1899
1842.7870237181367,1844
1843.259319563575,1913
1843.7243079703408,1924
1844.1820664338375,1858
1844.6326729047014,1952
1845.0762057322822,1880
1845.512743609783,1972
1845.9423655210576,1962
1846.3651506890542,1999
1846.781178525898,1853
1847.190528584601,1881
1847.5932805123853,1999
1847.9895140056055,1922
1848.3793087662534,1947
1848.7627444600257,2041
1849.1399006759366,1979
1849.5108568874548,2060
1849.8756924151385,1925
1850.2344863907538,1954
1850.5873177228411,1936
1850.9342650637159,2067
1851.2754067778683,2017
1851.6108209117424,1992
1851.940585164864,1946
1852.2647768622885,1983
1852.583472928346,1995
1852.8967498616473,2026
1853.2046837113298,1979
1853.5073500545082,2088
1853.804823974904,2074
1854.0971800426232,2066
1854.3844922950539,2010
